model;query;category;subcategory;contains reachability
ARMCacheCoherence-PT-none;1;CTL;Cardinality;False
ARMCacheCoherence-PT-none;2;CTL;Cardinality;False
ARMCacheCoherence-PT-none;3;CTL;Cardinality;False
ARMCacheCoherence-PT-none;4;CTL;Cardinality;False
ARMCacheCoherence-PT-none;5;CTL;Cardinality;False
ARMCacheCoherence-PT-none;6;CTL;Cardinality;True
ARMCacheCoherence-PT-none;7;CTL;Cardinality;True
ARMCacheCoherence-PT-none;8;CTL;Cardinality;False
ARMCacheCoherence-PT-none;9;CTL;Cardinality;True
ARMCacheCoherence-PT-none;10;CTL;Cardinality;True
ARMCacheCoherence-PT-none;11;CTL;Cardinality;True
ARMCacheCoherence-PT-none;12;CTL;Cardinality;False
ARMCacheCoherence-PT-none;13;CTL;Cardinality;True
ARMCacheCoherence-PT-none;14;CTL;Cardinality;False
ARMCacheCoherence-PT-none;15;CTL;Cardinality;False
ARMCacheCoherence-PT-none;16;CTL;Cardinality;True
ARMCacheCoherence-PT-none;1;CTL;Fireability;False
ARMCacheCoherence-PT-none;2;CTL;Fireability;False
ARMCacheCoherence-PT-none;3;CTL;Fireability;False
ARMCacheCoherence-PT-none;4;CTL;Fireability;True
ARMCacheCoherence-PT-none;5;CTL;Fireability;True
ARMCacheCoherence-PT-none;6;CTL;Fireability;False
ARMCacheCoherence-PT-none;7;CTL;Fireability;False
ARMCacheCoherence-PT-none;8;CTL;Fireability;True
ARMCacheCoherence-PT-none;9;CTL;Fireability;True
ARMCacheCoherence-PT-none;10;CTL;Fireability;False
ARMCacheCoherence-PT-none;11;CTL;Fireability;False
ARMCacheCoherence-PT-none;12;CTL;Fireability;True
ARMCacheCoherence-PT-none;13;CTL;Fireability;True
ARMCacheCoherence-PT-none;14;CTL;Fireability;True
ARMCacheCoherence-PT-none;15;CTL;Fireability;False
ARMCacheCoherence-PT-none;16;CTL;Fireability;False
ASLink-PT-01a;1;CTL;Cardinality;True
ASLink-PT-01a;2;CTL;Cardinality;True
ASLink-PT-01a;3;CTL;Cardinality;True
ASLink-PT-01a;4;CTL;Cardinality;False
ASLink-PT-01a;5;CTL;Cardinality;True
ASLink-PT-01a;6;CTL;Cardinality;True
ASLink-PT-01a;7;CTL;Cardinality;True
ASLink-PT-01a;8;CTL;Cardinality;True
ASLink-PT-01a;9;CTL;Cardinality;True
ASLink-PT-01a;10;CTL;Cardinality;True
ASLink-PT-01a;11;CTL;Cardinality;False
ASLink-PT-01a;12;CTL;Cardinality;False
ASLink-PT-01a;13;CTL;Cardinality;False
ASLink-PT-01a;14;CTL;Cardinality;False
ASLink-PT-01a;15;CTL;Cardinality;True
ASLink-PT-01a;16;CTL;Cardinality;False
ASLink-PT-01a;1;CTL;Fireability;False
ASLink-PT-01a;2;CTL;Fireability;True
ASLink-PT-01a;3;CTL;Fireability;True
ASLink-PT-01a;4;CTL;Fireability;True
ASLink-PT-01a;5;CTL;Fireability;True
ASLink-PT-01a;6;CTL;Fireability;False
ASLink-PT-01a;7;CTL;Fireability;False
ASLink-PT-01a;8;CTL;Fireability;False
ASLink-PT-01a;9;CTL;Fireability;True
ASLink-PT-01a;10;CTL;Fireability;False
ASLink-PT-01a;11;CTL;Fireability;True
ASLink-PT-01a;12;CTL;Fireability;True
ASLink-PT-01a;13;CTL;Fireability;True
ASLink-PT-01a;14;CTL;Fireability;False
ASLink-PT-01a;15;CTL;Fireability;False
ASLink-PT-01a;16;CTL;Fireability;False
ASLink-PT-01b;1;CTL;Cardinality;True
ASLink-PT-01b;2;CTL;Cardinality;True
ASLink-PT-01b;3;CTL;Cardinality;False
ASLink-PT-01b;4;CTL;Cardinality;False
ASLink-PT-01b;5;CTL;Cardinality;True
ASLink-PT-01b;6;CTL;Cardinality;False
ASLink-PT-01b;7;CTL;Cardinality;False
ASLink-PT-01b;8;CTL;Cardinality;True
ASLink-PT-01b;9;CTL;Cardinality;False
ASLink-PT-01b;10;CTL;Cardinality;True
ASLink-PT-01b;11;CTL;Cardinality;False
ASLink-PT-01b;12;CTL;Cardinality;False
ASLink-PT-01b;13;CTL;Cardinality;True
ASLink-PT-01b;14;CTL;Cardinality;False
ASLink-PT-01b;15;CTL;Cardinality;False
ASLink-PT-01b;16;CTL;Cardinality;False
ASLink-PT-01b;1;CTL;Fireability;True
ASLink-PT-01b;2;CTL;Fireability;False
ASLink-PT-01b;3;CTL;Fireability;False
ASLink-PT-01b;4;CTL;Fireability;True
ASLink-PT-01b;5;CTL;Fireability;True
ASLink-PT-01b;6;CTL;Fireability;True
ASLink-PT-01b;7;CTL;Fireability;False
ASLink-PT-01b;8;CTL;Fireability;False
ASLink-PT-01b;9;CTL;Fireability;False
ASLink-PT-01b;10;CTL;Fireability;True
ASLink-PT-01b;11;CTL;Fireability;True
ASLink-PT-01b;12;CTL;Fireability;False
